FB_Followers,FB_Shares,FB_NOP,OUTPUT
14308844,465289,4775,1
14310282,546042,4775,1
14310355,546042,4775,1
14310508,546042,4775,1
14310606,546042,4775,1
14310633,546042,4775,1
14310690,546042,4775,1
14319170,598505,4775,1
14406558,439612,4775,1
