T_Followers,T_Shares,T_NOP,OUTPUT
9645614,5,169336,1
9646538,5,169398,1
9646677,5,169399,1
9647023,5,169409,1
9647174,5,169418,1
9647328,5,169421,1
9647467,5,169422,1
1175192,9,15255,1
56779,8040,7051,1
